"#pciid","define","family","mobility","igp","nocrtc2","Nointtvout","singledac","name"
"0x5D49","R430_5D49","R420",1,,,,,"ATI Mobility FireGL V5100 (M28) (PCIE)"
"0x5D4A","R430_5D4A","R420",1,,,,,"ATI Mobility Radeon X800 (M28) (PCIE)"
"0x5D4C","R480_5D4C","R420",,,,,,"ATI Radeon X850 5D4C (PCIE)"
"0x5D4D","R480_5D4D","R420",,,,,,"ATI Radeon X850 XT PE (R480) (PCIE)"
"0x5D4E","R480_5D4E","R420",,,,,,"ATI Radeon X850 SE (R480) (PCIE)"
"0x5D4F","R480_5D4F","R420",,,,,,"ATI Radeon X850 PRO (R480) (PCIE)"
"0x5D50","R480_5D50","R420",,,,,,"ATI unknown Radeon / FireGL (R480) 5D50 (PCIE)"
"0x5D52","R480_5D52","R420",,,,,,"ATI Radeon X850 XT (R480) (PCIE)"
"0x5D57","R423_5D57","R420",,,,,,"ATI Radeon X800XT (R423) 5D57 (PCIE)"
"0x5E48","RV410_5E48","RV410",,,,,,"ATI FireGL V5000 (RV410) (PCIE)"
"0x5E4A","RV410_5E4A","RV410",,,,,,"ATI Radeon X700 XT (RV410) (PCIE)"
"0x5E4B","RV410_5E4B","RV410",,,,,,"ATI Radeon X700 PRO (RV410) (PCIE)"
"0x5E4C","RV410_5E4C","RV410",,,,,,"ATI Radeon X700 SE (RV410) (PCIE)"
"0x5E4D","RV410_5E4D","RV410",,,,,,"ATI Radeon X700 (RV410) (PCIE)"
"0x5E4F","RV410_5E4F","RV410",,,,,,"ATI Radeon X700 SE (RV410) (PCIE)"
"0x7100","R520_7100","R520",,,,,,"ATI Radeon X1800"
"0x7101","R520_7101","R520",1,,,,,"ATI Mobility Radeon X1800 XT"
"0x7102","R520_7102","R520",1,,,,,"ATI Mobility Radeon X1800"
"0x7103","R520_7103","R520",1,,,,,"ATI Mobility FireGL V7200"
"0x7104","R520_7104","R520",,,,,,"ATI FireGL V7200"
"0x7105","R520_7105","R520",,,,,,"ATI FireGL V5300"
"0x7106","R520_7106","R520",1,,,,,"ATI Mobility FireGL V7100"
"0x7108","R520_7108","R520",,,,,,"ATI Radeon X1800"
"0x7109","R520_7109","R520",,,,,,"ATI Radeon X1800"
"0x710A","R520_710A","R520",,,,,,"ATI Radeon X1800"
"0x710B","R520_710B","R520",,,,,,"ATI Radeon X1800"
"0x710C","R520_710C","R520",,,,,,"ATI Radeon X1800"
"0x710E","R520_710E","R520",,,,,,"ATI FireGL V7300"
"0x710F","R520_710F","R520",,,,,,"ATI FireGL V7350"
"0x7140","RV515_7140","RV515",,,,,,"ATI Radeon X1600"
"0x7141","RV515_7141","RV515",,,,,,"ATI RV505"
"0x7142","RV515_7142","RV515",,,,,,"ATI Radeon X1300/X1550"
"0x7143","RV515_7143","RV515",,,,,,"ATI Radeon X1550"
"0x7144","RV515_7144","RV515",1,,,,,"ATI M54-GL"
"0x7145","RV515_7145","RV515",1,,,,,"ATI Mobility Radeon X1400"
"0x7146","RV515_7146","RV515",,,,,,"ATI Radeon X1300/X1550"
"0x7147","RV515_7147","RV515",,,,,,"ATI Radeon X1550 64-bit"
"0x7149","RV515_7149","RV515",1,,,,,"ATI Mobility Radeon X1300"
"0x714A","RV515_714A","RV515",1,,,,,"ATI Mobility Radeon X1300"
"0x714B","RV515_714B","RV515",1,,,,,"ATI Mobility Radeon X1300"
"0x714C","RV515_714C","RV515",1,,,,,"ATI Mobility Radeon X1300"
"0x714D","RV515_714D","RV515",,,,,,"ATI Radeon X1300"
"0x714E","RV515_714E","RV515",,,,,,"ATI Radeon X1300"
"0x714F","RV515_714F","RV515",,,,,,"ATI RV505"
"0x7151","RV515_7151","RV515",,,,,,"ATI RV505"
"0x7152","RV515_7152","RV515",,,,,,"ATI FireGL V3300"
"0x7153","RV515_7153","RV515",,,,,,"ATI FireGL V3350"
"0x715E","RV515_715E","RV515",,,,,,"ATI Radeon X1300"
"0x715F","RV515_715F","RV515",,,,,,"ATI Radeon X1550 64-bit"
"0x7180","RV515_7180","RV515",,,,,,"ATI Radeon X1300/X1550"
"0x7181","RV515_7181","RV515",,,,,,"ATI Radeon X1600"
"0x7183","RV515_7183","RV515",,,,,,"ATI Radeon X1300/X1550"
"0x7186","RV515_7186","RV515",1,,,,,"ATI Mobility Radeon X1450"
"0x7187","RV515_7187","RV515",,,,,,"ATI Radeon X1300/X1550"
"0x7188","RV515_7188","RV515",1,,,,,"ATI Mobility Radeon X2300"
"0x718A","RV515_718A","RV515",1,,,,,"ATI Mobility Radeon X2300"
"0x718B","RV515_718B","RV515",1,,,,,"ATI Mobility Radeon X1350"
"0x718C","RV515_718C","RV515",1,,,,,"ATI Mobility Radeon X1350"
"0x718D","RV515_718D","RV515",1,,,,,"ATI Mobility Radeon X1450"
"0x718F","RV515_718F","RV515",,,,,,"ATI Radeon X1300"
"0x7193","RV515_7193","RV515",,,,,,"ATI Radeon X1550"
"0x7196","RV515_7196","RV515",1,,,,,"ATI Mobility Radeon X1350"
"0x719B","RV515_719B","RV515",,,,,,"ATI FireMV 2250"
"0x719F","RV515_719F","RV515",,,,,,"ATI Radeon X1550 64-bit"
"0x71C0","RV530_71C0","RV530",,,,,,"ATI Radeon X1600"
"0x71C1","RV530_71C1","RV530",,,,,,"ATI Radeon X1650"
"0x71C2","RV530_71C2","RV530",,,,,,"ATI Radeon X1600"
"0x71C3","RV530_71C3","RV530",,,,,,"ATI Radeon X1600"
"0x71C4","RV530_71C4","RV530",1,,,,,"ATI Mobility FireGL V5200"
"0x71C5","RV530_71C5","RV530",1,,,,,"ATI Mobility Radeon X1600"
"0x71C6","RV530_71C6","RV530",,,,,,"ATI Radeon X1650"
"0x71C7","RV530_71C7","RV530",,,,,,"ATI Radeon X1650"
"0x71CD","RV530_71CD","RV530",,,,,,"ATI Radeon X1600"
"0x71CE","RV530_71CE","RV530",,,,,,"ATI Radeon X1300 XT/X1600 Pro"
"0x71D2","RV530_71D2","RV530",,,,,,"ATI FireGL V3400"
"0x71D4","RV530_71D4","RV530",1,,,,,"ATI Mobility FireGL V5250"
"0x71D5","RV530_71D5","RV530",1,,,,,"ATI Mobility Radeon X1700"
"0x71D6","RV530_71D6","RV530",1,,,,,"ATI Mobility Radeon X1700 XT"
"0x71DA","RV530_71DA","RV530",,,,,,"ATI FireGL V5200"
"0x71DE","RV530_71DE","RV530",1,,,,,"ATI Mobility Radeon X1700"
"0x7200","RV515_7200","RV515",,,,,,"ATI Radeon X2300HD"
"0x7210","RV515_7210","RV515",1,,,,,"ATI Mobility Radeon HD 2300"
"0x7211","RV515_7211","RV515",1,,,,,"ATI Mobility Radeon HD 2300"
"0x7240","R580_7240","R580",,,,,,"ATI Radeon X1950"
"0x7243","R580_7243","R580",,,,,,"ATI Radeon X1900"
"0x7244","R580_7244","R580",,,,,,"ATI Radeon X1950"
"0x7245","R580_7245","R580",,,,,,"ATI Radeon X1900"
"0x7246","R580_7246","R580",,,,,,"ATI Radeon X1900"
"0x7247","R580_7247","R580",,,,,,"ATI Radeon X1900"
"0x7248","R580_7248","R580",,,,,,"ATI Radeon X1900"
"0x7249","R580_7249","R580",,,,,,"ATI Radeon X1900"
"0x724A","R580_724A","R580",,,,,,"ATI Radeon X1900"
"0x724B","R580_724B","R580",,,,,,"ATI Radeon X1900"
"0x724C","R580_724C","R580",,,,,,"ATI Radeon X1900"
"0x724D","R580_724D","R580",,,,,,"ATI Radeon X1900"
"0x724E","R580_724E","R580",,,,,,"ATI AMD Stream Processor"
"0x724F","R580_724F","R580",,,,,,"ATI Radeon X1900"
"0x7280","RV570_7280","RV570",,,,,,"ATI Radeon X1950"
"0x7281","RV560_7281","RV560",,,,,,"ATI RV560"
"0x7283","RV560_7283","RV560",,,,,,"ATI RV560"
"0x7284","R580_7284","R580",1,,,,,"ATI Mobility Radeon X1900"
"0x7287","RV560_7287","RV560",,,,,,"ATI RV560"
"0x7288","RV570_7288","RV570",,,,,,"ATI Radeon X1950 GT"
"0x7289","RV570_7289","RV570",,,,,,"ATI RV570"
"0x728B","RV570_728B","RV570",,,,,,"ATI RV570"
"0x728C","RV570_728C","RV570",,,,,,"ATI FireGL V7400"
"0x7290","RV560_7290","RV560",,,,,,"ATI RV560"
"0x7291","RV560_7291","RV560",,,,,,"ATI Radeon X1650"
"0x7293","RV560_7293","RV560",,,,,,"ATI Radeon X1650"
"0x7297","RV560_7297","RV560",,,,,,"ATI RV560"
"0x7834","RS350_7834","RS300",,1,,,1,"ATI Radeon 9100 PRO IGP 7834"
"0x7835","RS350_7835","RS300",1,1,,,1,"ATI Radeon Mobility 9200 IGP 7835"
"0x791E","RS690_791E","RS690",,1,,,1,"ATI Radeon X1200"
"0x791F","RS690_791F","RS690",,1,,,1,"ATI Radeon X1200"
"0x793F","RS600_793F","RS600",,1,,,1,"ATI Radeon X1200"
"0x7941","RS600_7941","RS600",,1,,,1,"ATI Radeon X1200"
"0x7942","RS600_7942","RS600",,1,,,1,"ATI Radeon X1200"
"0x796C","RS740_796C","RS740",,1,,,1,"ATI RS740"
"0x796D","RS740_796D","RS740",,1,,,1,"ATI RS740M"
"0x796E","RS740_796E","RS740",,1,,,1,"ATI RS740"
"0x796F","RS740_796F","RS740",,1,,,1,"ATI RS740M"
"0x9400","R600_9400","R600",,,,,,"ATI Radeon HD 2900 XT"
"0x9401","R600_9401","R600",,,,,,"ATI Radeon HD 2900 XT"
"0x9402","R600_9402","R600",,,,,,"ATI Radeon HD 2900 XT"
"0x9403","R600_9403","R600",,,,,,"ATI Radeon HD 2900 Pro"
"0x9405","R600_9405","R600",,,,,,"ATI Radeon HD 2900 GT"
"0x940A","R600_940A","R600",,,,,,"ATI FireGL V8650"
"0x940B","R600_940B","R600",,,,,,"ATI FireGL V8600"
"0x940F","R600_940F","R600",,,,,,"ATI FireGL V7600"
"0x9440","RV770_9440","RV770",,,,,,"ATI Radeon 4800 Series"
"0x9441","RV770_9441","RV770",,,,,,"ATI Radeon HD 4870 x2"
"0x9442","RV770_9442","RV770",,,,,,"ATI Radeon 4800 Series"
"0x9443","RV770_9443","RV770",,,,,,"ATI Radeon HD 4850 x2"
"0x9444","RV770_9444","RV770",,,,,,"ATI FirePro V8750 (FireGL)"
"0x9446","RV770_9446","RV770",,,,,,"ATI FirePro V7760 (FireGL)"
"0x944A","RV770_944A","RV770",1,,,,,"ATI Mobility RADEON HD 4850"
"0x944B","RV770_944B","RV770",1,,,,,"ATI Mobility RADEON HD 4850 X2"
"0x944C","RV770_944C","RV770",,,,,,"ATI Radeon 4800 Series"
"0x944E","RV770_944E","RV770",,,,,,"ATI FirePro RV770"
"0x9450","RV770_9450","RV770",,,,,,"AMD FireStream 9270"
"0x9452","RV770_9452","RV770",,,,,,"AMD FireStream 9250"
"0x9456","RV770_9456","RV770",,,,,,"ATI FirePro V8700 (FireGL)"
"0x945A","RV770_945A","RV770",1,,,,,"ATI Mobility RADEON HD 4870"
"0x945B","RV770_945B","RV770",1,,,,,"ATI Mobility RADEON M98"
"0x945E","RV770_945E","RV770",1,,,,,"ATI Mobility RADEON HD 4870"
"0x9460","RV790_9460","RV770",,,,,,"ATI Radeon 4800 Series"
"0x9462","RV790_9462","RV770",,,,,,"ATI Radeon 4800 Series"
"0x946A","RV770_946A","RV770",1,,,,,"ATI FirePro M7750"
"0x946B","RV770_946B","RV770",1,,,,,"ATI M98"
"0x947A","RV770_947A","RV770",1,,,,,"ATI M98"
"0x947B","RV770_947B","RV770",1,,,,,"ATI M98"
"0x9480","RV730_9480","RV730",1,,,,,"ATI Mobility Radeon HD 4650"
"0x9487","RV730_9487","RV730",,,,,,"ATI Radeon RV730 (AGP)"
"0x9488","RV730_9488","RV730",1,,,,,"ATI Mobility Radeon HD 4670"
"0x9489","RV730_9489","RV730",1,,,,,"ATI FirePro M5750"
"0x948A","RV730_948A","RV730",1,,,,,"ATI Mobility Radeon HD 4670"
"0x948F","RV730_948F","RV730",,,,,,"ATI Radeon RV730 (AGP)"
